Project Name,Project Domain,Bug ID,Bug Type,Bug Link,File Path
cli,Providing APIs and service,c58f3c1,Test Fault,https://github.com/react-native-community/cli/commit/c58f3c116fd5505acd19800376e102161ca622b6,"['packages/cli/src/commands/init/__tests__/template.test.js', 'packages/cli/src/commands/init/template.js', 'packages/cli/src/tools/__tests__/__fixtures__/binary.keystore', 'packages/cli/src/tools/__tests__/__fixtures__/extraDir/file3', 'packages/cli/src/tools/__tests__/__fixtures__/file1.js', 'packages/cli/src/tools/__tests__/__fixtures__/file2.txt', 'packages/cli/src/tools/__tests__/copyFiles.test.js', 'packages/cli/src/tools/copyFiles.js']"
shortest,Automating software testing and quality assurance,d3a013c,Missing Cases,https://github.com/antiwork/shortest/commit/d3a013c7c34174e5deaa51b703a451560fff23c4,['app/api/github/webhook/route.ts']
hocuspocus,Providing APIs and service,430c667,Tooling / Configuration Issue,https://github.com/ueberdosis/hocuspocus/commit/430c6673d935ca46c79d14d6269d6bffb17c511b,"['packages/provider/src/HocuspocusProvider.ts', 'tests/redis/onSynced.js', 'yarn.lock']"
shadcn-table,User interface,070e998,Tooling / Configuration Issue,https://github.com/sadmann7/shadcn-table/commit/070e99876b2d39ecdffb08c35b76e640646def14,"['package.json', 'pnpm-lock.yaml']"
shortest,Automating software testing and quality assurance,31c782b,Tooling / Configuration Issue,https://github.com/antiwork/shortest/commit/31c782bc7fce18c6db55deeac107c489179758c5,['packages/shortest/src/browser/manager/index.ts']
shortest,Automating software testing and quality assurance,41642d8,Missing Cases,https://github.com/antiwork/shortest/commit/41642d8b01b8add814d99d4e529932275af07593,['app/(dashboard)/dashboard/log-view.tsx']
n8n,Application logic and workflows,47e32e4,Missing Cases,https://github.com/n8n-io/n8n/commit/47e32e42682b2d6791157fdb11e5513381bd7452,['packages/editor-ui/src/plugins/i18n/locales/en.json']
hocuspocus,Providing APIs and service,797fc7c,Asynchrony / Event Handling Bug,https://github.com/ueberdosis/hocuspocus/commit/797fc7cf0135d4b38b8a2df252760595df3de77b,['packages/provider/src/HocuspocusProviderWebsocket.ts']
xyflow,Integrating with APISs and services,b9c07dc,Tooling / Configuration Issue,https://github.com/xyflow/xyflow/commit/b9c07dc211dea4f681f5cd42e96a19b9fc06eceb,"['package.json', 'packages/react/src/components/NodeWrapper/index.tsx', 'packages/react/src/components/Panel/index.tsx', 'packages/system/src/xyhandle/types.ts', 'pnpm-lock.yaml', 'tooling/eslint-config/package.json']"
shortest,Automating software testing and quality assurance,f60ca46,Tooling / Configuration Issue,https://github.com/antiwork/shortest/commit/f60ca46226936a7ba4bf41798e6d3f93d9fb296d,['packages/shortest/index.d.ts']
shadcn-table,User interface,561a152,Tooling / Configuration Issue,https://github.com/sadmann7/shadcn-table/commit/561a1523ec15829dbb5ce248e66d1b392ff8238e,"['package.json', 'pnpm-lock.yaml']"
LlamaIndexTS,Integration with AI,853a14b,Test Fault,https://github.com/run-llama/LlamaIndexTS/commit/853a14b7c7693e1ea3136a1596c8c7b10a702814,"['packages/core/src/Node.ts', 'packages/core/src/storage/vectorStore/utils.ts', 'packages/core/src/tests/VectorStore.test.ts']"
