dependency,dependency category,repositories
@changesets/changelog-github,Build Scripts & CI/CD Configuration,xyflow; chakra-ui; xstate-monorepo
@commitlint/cli,Build Scripts & CI/CD Configuration,nest; chakra-ui
@eslint/compat,Build Scripts & CI/CD Configuration,user-event; chakra-ui
@eslint/eslintrc,Build Scripts & CI/CD Configuration,nest; chakra-ui
@eslint/js,Build Scripts & CI/CD Configuration,LlamaIndexTS; nest; chakra-ui; fabric; insomnia; vue-i18n-root; xstate-monorepo
@testing-library/dom,Build Scripts & CI/CD Configuration,user-event
@vitest/coverage-v8,Build Scripts & CI/CD Configuration,fabric; vue-i18n-root
eslint-config-prettier,Build Scripts & CI/CD Configuration,LlamaIndexTS; nest; chakra-ui; fabric; insomnia; shortest-monorepo; vue-i18n-root
eslint-plugin-prettier,Build Scripts & CI/CD Configuration,nest; chakra-ui; shortest-monorepo
eslint-plugin-react-hooks,Build Scripts & CI/CD Configuration,chakra-ui; insomnia; shortest-monorepo
happy-dom,Build Scripts & CI/CD Configuration,shortest-monorepo; xstate-monorepo
husky,Build Scripts & CI/CD Configuration,LlamaIndexTS; nest; chakra-ui; cli; refly-monorepo; xstate-monorepo
lint-staged,Build Scripts & CI/CD Configuration,LlamaIndexTS; nest; chakra-ui; cli; refly-monorepo; vue-i18n-root; xstate-monorepo
turbo,Build Scripts & CI/CD Configuration,LlamaIndexTS; xyflow; n8n-monorepo; refly-monorepo
concurrently,Build Scripts & CI/CD Configuration,nest; xyflow; hocuspocus
nodemon,Build Scripts & CI/CD Configuration,nest; n8n-monorepo; refly-monorepo
@testing-library/jest-dom,Build Scripts & CI/CD Configuration,user-event; chakra-ui; shortest-monorepo
@playwright/test,Build Scripts & CI/CD Configuration,xyflow; fabric; shortest-monorepo
eslint-plugin-react,Build Scripts & CI/CD Configuration,LlamaIndexTS; chakra-ui; insomnia; shortest-monorepo
globals,Build Scripts & CI/CD Configuration,LlamaIndexTS; nest; chakra-ui; insomnia; vue-i18n-root; xstate-monorepo
