"","API Misuse","Async / Event","Logic Error","Missing Case","Missing Feature","Performance Issue","Runtime Exception","Test Fault","Tooling / Config","Type Error","UI Bug","Error Handling"
"API Misuse",1,0.295526387536442,0.294516150064468,0.00909801316032599,0.244902232607413,-0.224686624376793,-0.0941905039827569,0.210129996494565,-0.32982803540383,0.103396491440261,0.31638712341938,0.489308774623015
"Async / Event",0.295526387536442,1,0.0727579180916064,0.170028454043049,0.44984316006705,-0.216057724562007,-0.16535979301716,0.471550587318061,-0.224400736850954,0.2131074412389,0.00228735355187344,0.498788709735085
"Logic Error",0.294516150064468,0.0727579180916064,1,0.248875608755905,0.161599448741243,0.1161746462404,0.435955552901004,-0.116140876939617,-0.421289355322339,0.0353919274942084,0.100747278603311,0.185283432636085
"Missing Case",0.00909801316032599,0.170028454043049,0.248875608755905,1,0.618417047797954,0.271103651456537,0.202842397362925,0.376714074235997,-0.318470003909531,-0.199090215146349,-0.107690615633325,0.210715583093204
"Missing Feature",0.244902232607413,0.44984316006705,0.161599448741243,0.618417047797954,1,0.0519863633164954,0.100589540848002,0.51129403694243,0.086654776861246,-0.237615269287696,-0.439110034987867,0.509448970040021
"Performance Issue",-0.224686624376793,-0.216057724562007,0.1161746462404,0.271103651456537,0.0519863633164954,1,0.657425122890654,-0.197231078646762,0.201490402073194,-0.346455270815343,-0.304499563751312,-0.130564373044847
"Runtime Exception",-0.0941905039827569,-0.16535979301716,0.435955552901004,0.202842397362925,0.100589540848002,0.657425122890654,1,-0.378188609508511,0.0809258810774319,-0.319924692005059,-0.189716012340488,-0.112660142429822
"Test Fault",0.210129996494565,0.471550587318061,-0.116140876939617,0.376714074235997,0.51129403694243,-0.197231078646762,-0.378188609508511,1,-0.379343253900178,0.156818361820996,-0.100606157777018,0.429026630473745
"Tooling / Config",-0.32982803540383,-0.224400736850954,-0.421289355322339,-0.318470003909531,0.086654776861246,0.201490402073194,0.0809258810774319,-0.379343253900178,1,-0.453317879819435,-0.648513963750199,-0.282336659254987
"Type Error",0.103396491440261,0.2131074412389,0.0353919274942084,-0.199090215146349,-0.237615269287696,-0.346455270815343,-0.319924692005059,0.156818361820996,-0.453317879819435,1,0.488775398212039,-0.201878854657428
"UI Bug",0.31638712341938,0.00228735355187344,0.100747278603311,-0.107690615633325,-0.439110034987867,-0.304499563751312,-0.189716012340488,-0.100606157777018,-0.648513963750199,0.488775398212039,1,0.0204950727123946
"Error Handling",0.489308774623015,0.498788709735085,0.185283432636085,0.210715583093204,0.509448970040021,-0.130564373044847,-0.112660142429822,0.429026630473745,-0.282336659254987,-0.201878854657428,0.0204950727123946,1
