"","Size..LOC.","API Misuse","Async / Event","Logic Error","Missing Case","Missing Feature","Performance Issue","Runtime Exception","Test Fault","Tooling / Config","Type Error","UI Bug","Error Handling","Total_Bugs"
"Size..LOC.",NA,0.168725646998766,0.387030412233226,0.0548546964653833,0.925395369245624,0.502503673398633,0.863518782891496,0.353981501933102,0.420371494035518,0.831307912029093,0.417817844053289,0.493287388686142,0.0405086855106696,0.612188578220786
"API Misuse",0.168725646998766,NA,0.266452471281315,0.268167993443943,0.973323426661696,0.360624004037739,0.402807228543659,0.728611881286466,0.434731484458082,0.212189184457179,0.70315815407622,0.23253055534963,0.0544030922724503,0.075086199374625
"Async / Event",0.387030412233226,0.266452471281315,NA,0.788870082531836,0.5289856338457,0.0804141297441174,0.421577919075781,0.540523263401289,0.0651931746670364,0.403421896111194,0.428098458663551,0.993292137850956,0.049215582183519,0.698582971050443
"Logic Error",0.0548546964653833,0.268167993443943,0.788870082531836,NA,0.352634228264451,0.549896563751196,0.668316863653489,0.0914035813626888,0.668408144458217,0.104129475339526,0.896468551946463,0.71045406977922,0.492082459791248,0.781764250000109
"Missing Case",0.925395369245624,0.973323426661696,0.5289856338457,0.352634228264451,NA,0.010662142719494,0.309803682900538,0.451186345889627,0.150362885880565,0.229300790023429,0.459778715473615,0.691383810264315,0.433422794883186,0.94490832952637
"Missing Feature",0.502503673398633,0.360624004037739,0.0804141297441174,0.549896563751196,0.010662142719494,NA,0.848364615640615,0.710889229943532,0.0429470633807041,0.749648510042145,0.375535918143428,0.088818484025921,0.0438321236170391,0.0550780906576651
"Performance Issue",0.863518782891496,0.402807228543659,0.421577919075781,0.668316863653489,0.309803682900538,0.848364615640615,NA,0.0056475058561003,0.464065984144198,0.454273026993635,0.188655063647667,0.251509828219187,0.62983070659522,0.894440512696506
"Runtime Exception",0.353981501933102,0.728611881286466,0.540523263401289,0.0914035813626888,0.451186345889627,0.710889229943532,0.0056475058561003,NA,0.14864336160115,0.76575350101327,0.227062010223871,0.481595458361423,0.677839973542396,0.551673468217426
"Test Fault",0.420371494035518,0.434731484458082,0.0651931746670364,0.668408144458217,0.150362885880565,0.0429470633807041,0.464065984144198,0.14864336160115,NA,0.147306215992161,0.561915806830856,0.710843383924592,0.0972693568199634,0.119846150051549
"Tooling / Config",0.831307912029093,0.212189184457179,0.403421896111194,0.104129475339526,0.229300790023429,0.749648510042145,0.454273026993635,0.76575350101327,0.147306215992161,NA,0.0778205218104844,0.00657899449007249,0.289378834869258,0.531139324856709
"Type Error",0.417817844053289,0.70315815407622,0.428098458663551,0.896468551946463,0.459778715473615,0.375535918143428,0.188655063647667,0.227062010223871,0.561915806830856,0.0778205218104844,NA,0.0547065107117888,0.453385087534083,0.135358467360164
"UI Bug",0.493287388686142,0.23253055534963,0.993292137850956,0.71045406977922,0.691383810264315,0.088818484025921,0.251509828219187,0.481595458361423,0.710843383924592,0.00657899449007249,0.0547065107117888,NA,0.939946259003637,0.0756924326262185
"Error Handling",0.0405086855106696,0.0544030922724503,0.049215582183519,0.492082459791248,0.433422794883186,0.0438321236170391,0.62983070659522,0.677839973542396,0.0972693568199634,0.289378834869258,0.453385087534083,0.939946259003637,NA,0.00953787541779128
"Total_Bugs",0.612188578220786,0.075086199374625,0.698582971050443,0.781764250000109,0.94490832952637,0.0550780906576651,0.894440512696506,0.551673468217426,0.119846150051549,0.531139324856709,0.135358467360164,0.0756924326262185,0.00953787541779128,NA
