"Dependency","BugCategory","Rho","Pvalue"
"dependency.category","API Misuse",NA,NA
"dependency.category","Async / Event",NA,NA
"dependency.category","Logic Error",NA,NA
"dependency.category","Missing Case",NA,NA
"dependency.category","Missing Feature",NA,NA
"dependency.category","Performance Issue",NA,NA
"dependency.category","Runtime Exception",NA,NA
"dependency.category","Test Fault",NA,NA
"dependency.category","Tooling / Config",NA,NA
"dependency.category","Type Error",NA,NA
"dependency.category","UI Bug",NA,NA
"dependency.category","Error Handling",NA,NA
"dependency.category","Total_Bugs",NA,NA
"@changesets/changelog-github","API Misuse",0.11913662534595,0.53819284592929
"@changesets/changelog-github","Async / Event",-0.136487827406004,0.480192507950205
"@changesets/changelog-github","Logic Error",0.0250931909087085,0.897193857272822
"@changesets/changelog-github","Missing Case",-0.24975159126384,0.191344091736998
"@changesets/changelog-github","Missing Feature",-0.247777239416486,0.194993609360343
"@changesets/changelog-github","Performance Issue",-0.153522062157279,0.426551928438762
"@changesets/changelog-github","Runtime Exception",-0.197449625919697,0.304571574748599
"@changesets/changelog-github","Test Fault",-0.347832796499967,0.0644639866476502
"@changesets/changelog-github","Tooling / Config",-0.0248072101257115,0.898359479865297
"@changesets/changelog-github","Type Error",0.259634768941963,0.173787740573013
"@changesets/changelog-github","UI Bug",0.36300808171385,0.0529321723158116
"@changesets/changelog-github","Error Handling",-0.0740740740740741,0.70255046974996
"@changesets/changelog-github","Total_Bugs",-0.212971714445963,0.267333220804821
"@commitlint/cli","API Misuse",-0.0936073484861039,0.629109776099524
"@commitlint/cli","Async / Event",-0.307097611663508,0.105133766789069
"@commitlint/cli","Logic Error",-0.0501863818174171,0.795992798166206
"@commitlint/cli","Missing Case",-0.24975159126384,0.191344091736998
"@commitlint/cli","Missing Feature",-0.247777239416486,0.194993609360343
"@commitlint/cli","Performance Issue",0.164487923739942,0.393847548910945
"@commitlint/cli","Runtime Exception",0.0888523316638638,0.646704157267338
"@commitlint/cli","Test Fault",-0.248451997499977,0.19374096954425
"@commitlint/cli","Tooling / Config",0.314224661592346,0.0969001947704344
"@commitlint/cli","Type Error",-0.142380357161722,0.461255493139883
"@commitlint/cli","UI Bug",-0.0330007347012591,0.865054794493482
"@commitlint/cli","Error Handling",-0.0740740740740741,0.70255046974996
"@commitlint/cli","Total_Bugs",0.0737209780774486,0.703904935221513
"@eslint/compat","API Misuse",0.280822045458312,0.140042376237643
"@eslint/compat","Async / Event",-0.136487827406004,0.480192507950205
"@eslint/compat","Logic Error",0.0752795727261256,0.697932944198753
"@eslint/compat","Missing Case",-0.24975159126384,0.191344091736998
"@eslint/compat","Missing Feature",-0.247777239416486,0.194993609360343
"@eslint/compat","Performance Issue",-0.153522062157279,0.426551928438762
"@eslint/compat","Runtime Exception",-0.197449625919697,0.304571574748599
"@eslint/compat","Test Fault",0.00828173324999922,0.96599061697401
"@eslint/compat","Tooling / Config",-0.0909597704609422,0.638882548778935
"@eslint/compat","Type Error",0.259634768941963,0.173787740573013
"@eslint/compat","UI Bug",0.231005142908814,0.227944308593135
"@eslint/compat","Error Handling",-0.0740740740740741,0.70255046974996
"@eslint/compat","Total_Bugs",0.18020683530043,0.349558624178118
"@eslint/eslintrc","API Misuse",-0.0936073484861039,0.629109776099524
"@eslint/eslintrc","Async / Event",-0.307097611663508,0.105133766789069
"@eslint/eslintrc","Logic Error",-0.0501863818174171,0.795992798166206
"@eslint/eslintrc","Missing Case",-0.24975159126384,0.191344091736998
"@eslint/eslintrc","Missing Feature",-0.247777239416486,0.194993609360343
"@eslint/eslintrc","Performance Issue",0.164487923739942,0.393847548910945
"@eslint/eslintrc","Runtime Exception",0.0888523316638638,0.646704157267338
"@eslint/eslintrc","Test Fault",-0.248451997499977,0.19374096954425
"@eslint/eslintrc","Tooling / Config",0.314224661592346,0.0969001947704344
"@eslint/eslintrc","Type Error",-0.142380357161722,0.461255493139883
"@eslint/eslintrc","UI Bug",-0.0330007347012591,0.865054794493482
"@eslint/eslintrc","Error Handling",-0.0740740740740741,0.70255046974996
"@eslint/eslintrc","Total_Bugs",0.0737209780774486,0.703904935221513
"@eslint/js","API Misuse",-0.0500269614470928,0.796627396032396
"@eslint/js","Async / Event",-0.0250744149934325,0.89727037920848
"@eslint/js","Logic Error",-0.073758616493498,0.70376051312646
"@eslint/js","Missing Case",0.026218455473338,0.892609470564081
