"dependency","dependency.category","Project","Tooling / Config"
"@changesets/changelog-github","Build Scripts & CI/CD Configuration","xyflow",3
"@changesets/changelog-github","Build Scripts & CI/CD Configuration","chakra-ui",15
"@changesets/changelog-github","Build Scripts & CI/CD Configuration","xstate-monorepo",0
"@commitlint/cli","Build Scripts & CI/CD Configuration","nest",31
"@commitlint/cli","Build Scripts & CI/CD Configuration","chakra-ui",15
"@eslint/compat","Build Scripts & CI/CD Configuration","user-event",1
"@eslint/compat","Build Scripts & CI/CD Configuration","chakra-ui",15
"@eslint/eslintrc","Build Scripts & CI/CD Configuration","nest",31
"@eslint/eslintrc","Build Scripts & CI/CD Configuration","chakra-ui",15
"@eslint/js","Build Scripts & CI/CD Configuration","LlamaIndexTS",15
"@eslint/js","Build Scripts & CI/CD Configuration","nest",31
"@eslint/js","Build Scripts & CI/CD Configuration","chakra-ui",15
"@eslint/js","Build Scripts & CI/CD Configuration","fabric",0
"@eslint/js","Build Scripts & CI/CD Configuration","insomnia",6
"@eslint/js","Build Scripts & CI/CD Configuration","vue-i18n-root",0
"@eslint/js","Build Scripts & CI/CD Configuration","xstate-monorepo",0
"@testing-library/dom","Build Scripts & CI/CD Configuration","user-event",1
"@vitest/coverage-v8","Build Scripts & CI/CD Configuration","fabric",0
"@vitest/coverage-v8","Build Scripts & CI/CD Configuration","vue-i18n-root",0
"eslint-config-prettier","Build Scripts & CI/CD Configuration","LlamaIndexTS",15
"eslint-config-prettier","Build Scripts & CI/CD Configuration","nest",31
"eslint-config-prettier","Build Scripts & CI/CD Configuration","chakra-ui",15
"eslint-config-prettier","Build Scripts & CI/CD Configuration","fabric",0
"eslint-config-prettier","Build Scripts & CI/CD Configuration","insomnia",6
"eslint-config-prettier","Build Scripts & CI/CD Configuration","shortest-monorepo",0
"eslint-config-prettier","Build Scripts & CI/CD Configuration","vue-i18n-root",0
"eslint-plugin-prettier","Build Scripts & CI/CD Configuration","nest",31
"eslint-plugin-prettier","Build Scripts & CI/CD Configuration","chakra-ui",15
"eslint-plugin-prettier","Build Scripts & CI/CD Configuration","shortest-monorepo",0
"eslint-plugin-react-hooks","Build Scripts & CI/CD Configuration","chakra-ui",15
"eslint-plugin-react-hooks","Build Scripts & CI/CD Configuration","insomnia",6
"eslint-plugin-react-hooks","Build Scripts & CI/CD Configuration","shortest-monorepo",0
"happy-dom","Build Scripts & CI/CD Configuration","shortest-monorepo",0
"happy-dom","Build Scripts & CI/CD Configuration","xstate-monorepo",0
"husky","Build Scripts & CI/CD Configuration","LlamaIndexTS",15
"husky","Build Scripts & CI/CD Configuration","nest",31
