"","Size..LOC.","Num.of.Files","Commits","Commits.in.12.Months..Oct.8.","Issues","Issues..closed.","Pull.Requests","Size (LOC)","Num of Files","Project_Age_Years","API Misuse","Async / Event","Logic Error","Missing Case","Missing Feature","Test Fault","Tooling / Config","Type Error","UI Bug","Runtime Exception","Runtime exception","Error Handling","Total_Bugs"
"Size..LOC.",1,0.817647058823529,0.855882352941176,0.708823529411765,0.326470588235294,0.452941176470588,0.788235294117647,1,0.817647058823529,0.305882352941176,0.361632769670035,0.247508594197617,0.48851569879659,0.054066000806064,0.18092302793537,-0.216606177628284,-0.0682519625946938,-0.217769808735893,0.184777048003135,-0.0409960030845394,0.0840168050416806,0.516529198858111,0.171092189819798
"Num.of.Files",0.817647058823529,1,0.805882352941176,0.664705882352941,0.6,0.63235294117647,0.761764705882353,0.817647058823529,1,0.232352941176471,0.142867267030137,0.0473627556797909,0.234606323434229,0.21025666980136,0.168552222606456,-0.11801302091472,-0.0548983177392102,-0.167056291633014,0.263122516356464,-0.163984012338158,-0.0280056016805602,0.326228967699859,-0.0324485187589272
"Commits",0.855882352941176,0.805882352941176,1,0.682352941176471,0.470588235294118,0.597058823529412,0.85,0.855882352941176,0.805882352941176,0.388235294117647,0.15030827052129,0.0244452932540856,0.421697442122284,-0.123150335169368,-0.122161702623028,-0.484002769321131,0.0578657943737621,-0.17600573582764,0.214341375683636,-0.0409960030845394,0.0280056016805602,0.180591035690994,-0.109145017643664
"Commits.in.12.Months..Oct.8.",0.708823529411765,0.664705882352941,0.682352941176471,1,0.0382352941176471,0.155882352941176,0.520588235294118,0.708823529411765,0.664705882352941,-0.208823529411765,0.242576713811587,0.171117052778599,-0.00445455044495371,-0.141172335438056,0.0711321306412566,-0.321174677172973,0.224044485908669,-0.393775544563533,0.143386989250433,-0.286972021591776,-0.0840168050416806,0.524296555231917,0.209440439262167
"Issues",0.326470588235294,0.6,0.470588235294118,0.0382352941176471,1,0.967647058823529,0.661764705882353,0.326470588235294,0.6,0.676470588235294,-0.0401814188522261,-0.423209139461358,0.362303436189568,0.34542167181652,-0.0850492866362851,-0.112037678083595,-0.30416635504157,-0.0880028679138198,0.347380850245893,0.245976018507236,0.364072821847283,-0.159230805663027,-0.284662005476043
"Issues..closed.",0.452941176470588,0.63235294117647,0.597058823529412,0.155882352941176,0.967647058823529,1,0.776470588235294,0.452941176470588,0.63235294117647,0.741176470588235,0.00297640139646119,-0.423209139461358,0.408333790787423,0.222271336647152,-0.146903313280856,-0.243495220368347,-0.200304672832253,-0.195396198249329,0.323729388101492,0.286972021591776,0.420084025208403,-0.159230805663027,-0.252213486717116
"Pull.Requests",0.788235294117647,0.761764705882353,0.85,0.520588235294118,0.661764705882353,0.776470588235294,1,0.788235294117647,0.761764705882353,0.614705882352941,0.0416696195504567,-0.177228376092121,0.427636842715556,0.018022000268688,0.0185562079933713,-0.43620002667213,0.120182803699352,-0.356486193752592,0.0901711994255297,0.122988009253618,0.196039211763921,0.067964368270804,-0.0442479801258098
"Size (LOC)",1,0.817647058823529,0.855882352941176,0.708823529411765,0.326470588235294,0.452941176470588,0.788235294117647,1,0.817647058823529,0.305882352941176,0.361632769670035,0.247508594197617,0.48851569879659,0.054066000806064,0.18092302793537,-0.216606177628284,-0.0682519625946938,-0.217769808735893,0.184777048003135,-0.0409960030845394,0.0840168050416806,0.516529198858111,0.171092189819798
"Num of Files",0.817647058823529,1,0.805882352941176,0.664705882352941,0.6,0.63235294117647,0.761764705882353,0.817647058823529,1,0.232352941176471,0.142867267030137,0.0473627556797909,0.234606323434229,0.21025666980136,0.168552222606456,-0.11801302091472,-0.0548983177392102,-0.167056291633014,0.263122516356464,-0.163984012338158,-0.0280056016805602,0.326228967699859,-0.0324485187589272
"Project_Age_Years",0.305882352941176,0.232352941176471,0.388235294117647,-0.208823529411765,0.676470588235294,0.741176470588235,0.614705882352941,0.305882352941176,0.232352941176471,1,0.0193466090769977,-0.210840654316489,0.476636897610047,-0.012014666845792,-0.228859898584913,-0.125482199453627,-0.301198878407018,-0.0611545353299426,0.221732457603762,0.409960030845394,0.420084025208403,-0.254380921242152,-0.22713963131249
"API Misuse",0.361632769670035,0.142867267030137,0.15030827052129,0.242576713811587,-0.0401814188522261,0.00297640139646119,0.0416696195504567,0.361632769670035,0.142867267030137,0.0193466090769977,1,0.309998835585941,0.294516150064468,0.0319162205262144,0.244902232607413,0.210129996494565,-0.333334836348005,0.103396491440261,0.31638712341938,-0.124460972046753,-0.0850230301897704,0.489308774623015,0.477631092742359
"Async / Event",0.247508594197617,0.0473627556797909,0.0244452932540856,0.171117052778599,-0.423209139461358,-0.423209139461358,-0.177228376092121,0.247508594197617,0.0473627556797909,-0.210840654316489,0.309998835585941,1,-0.0131125070296838,0.17787330669329,0.344603325288994,0.446971163869685,-0.233536155688336,0.231670207787666,0.0737162833209937,-0.42591770999996,-0.290957186981323,0.502338852115106,0.0766172185470765
"Logic Error",0.48851569879659,0.234606323434229,0.421697442122284,-0.00445455044495371,0.362303436189568,0.408333790787423,0.427636842715556,0.48851569879659,0.234606323434229,0.476636897610047,0.294516150064468,-0.0131125070296838,1,0.254754912228932,0.161599448741243,-0.116140876939617,-0.411236070427732,0.0353919274942084,0.100747278603311,0.496723037485839,0.311049231132157,0.185283432636085,0.0848864928495286
"Missing Case",0.054066000806064,0.21025666980136,-0.123150335169368,-0.141172335438056,0.34542167181652,0.222271336647152,0.018022000268688,0.054066000806064,0.21025666980136,-0.012014666845792,0.0319162205262144,0.17787330669329,0.254754912228932,1,0.607994112422305,0.366137942367333,-0.307598355162856,-0.188884863896535,-0.0830292967517461,0.209335160604666,0.314606905697371,0.234005414252829,-0.00451881028839206
"Missing Feature",0.18092302793537,0.168552222606456,-0.122161702623028,0.0711321306412566,-0.0850492866362851,-0.146903313280856,0.0185562079933713,0.18092302793537,0.168552222606456,-0.228859898584913,0.244902232607413,0.344603325288994,0.161599448741243,0.607994112422305,1,0.51129403694243,0.109992564508314,-0.237615269287696,-0.439110034987867,0.0431080537409042,-0.265035662579632,0.509448970040021,0.479233946366468
"Test Fault",-0.216606177628284,-0.11801302091472,-0.484002769321131,-0.321174677172973,-0.112037678083595,-0.243495220368347,-0.43620002667213,-0.216606177628284,-0.11801302091472,-0.125482199453627,0.210129996494565,0.446971163869685,-0.116140876939617,0.366137942367333,0.51129403694243,1,-0.370016045974707,0.156818361820996,-0.100606157777018,-0.249864476598704,-0.341379865315891,0.429026630473745,0.40677455501199
