"","Async / Event","Error Handling","Missing Case","Missing Feature","Runtime Exception","Tooling / Config","Type Error","Logic Error","API Misuse","Test Fault","UI Bug"
"Size..LOC.",0.330125723319585,0.539451251793176,0.121613320338321,0.247418845828926,0,-0.120835520451821,-0.26452053501643,0.573236854039622,0.302714987465708,-0.188252639706559,0.104224882552659
"Stars",-0.272953112018427,0.239756111908078,0.154285555653094,-0.0520881780692476,-0.0907841299003204,-0.138870672758062,-0.356921543823539,0.118600728421991,-0.218026865972325,-0.0995566844601995,0.141961477959656
"Num.of.Files",0.171517833903471,0.401130418000054,0.355764340094193,0.286484979380862,-0.136176194850481,-0.164119885986801,-0.237343767720221,0.318065589858975,0.0828862465679914,-0.0144809722851199,0.159931285296321
"Commits",0.143853667144847,0.239756111908078,-0.0326722353147728,-0.0409264256258374,0,-0.0360703046124837,-0.215602353883254,0.522921393496959,0.111716245374249,-0.454340505445638,0.127585632090323
"Commits.in.12.Months..Oct.8.",0.271108834234519,0.580947501931113,-0.0689747189978538,0.158124826281644,-0.272352389700961,0.182155038293043,-0.44569898365782,0.0215637688039983,0.207215616419979,-0.273328351881639,0.0449245183416632
"Issues",-0.374388390133384,-0.142931528252893,0.441075176749433,-0.0167426286651153,0.272352389700961,-0.376934683200455,-0.110518853671248,0.4240874531453,-0.0522543728363424,-0.0470631599266398,0.310877666924309
"Issues..closed.",-0.374388390133384,-0.142931528252893,0.343058470805115,-0.0669705146604612,0.317744454651121,-0.293972982591743,-0.22284949182891,0.474402913687963,-0.0270281238808668,-0.159290695136319,0.267750129316313
"Project_Age_Years",-0.22684616742072,-0.281252362046015,0.00726049673661619,-0.232536509237712,0.408528584551442,-0.302990558744864,-0.07428316394297,0.449245183416632,0.00180187492539112,-0.139379358244279,0.249780321979647
"Num.of.Forks",-0.435249557002357,0.00461069445977073,0.221445150466794,-0.055808762217051,0.181568259800641,-0.122639035682445,-0.355109759337125,0.323456532059975,-0.268479363883277,-0.271518230345999,0.138367516492323
"Pull.Requests",-0.119878055954039,0.0783818058161025,0.108907451049243,0.0874337274733798,0.181568259800641,0.0468913959962289,-0.398592587011058,0.519327432029626,-0.0180187492539112,-0.428998803946678,0.0125788651356657
